epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,20227.2,1.35741,0.74399,1.08619,0.90799,0.9056,0.95495,0.62511,1.25859,0.67487,1.0302,0.000101772,0.000101772,0.000101772
70,20524.5,1.36018,0.74614,1.09038,0.90567,0.90532,0.95397,0.62501,1.2522,0.6786,1.02996,9.3632e-05,9.3632e-05,9.3632e-05
71,20806.6,1.22909,0.61346,1.03889,0.90534,0.91094,0.95437,0.63109,1.24002,0.66693,1.02559,8.61572e-05,8.61572e-05,8.61572e-05
72,21087,1.21897,0.60303,1.03044,0.90972,0.91175,0.95686,0.63662,1.23256,0.66121,1.02192,7.93591e-05,7.93591e-05,7.93591e-05
73,21408.8,1.21226,0.59786,1.02924,0.90986,0.91536,0.95788,0.64011,1.22071,0.65553,1.01757,7.32482e-05,7.32482e-05,7.32482e-05
74,21724.3,1.20395,0.59347,1.02746,0.90851,0.91498,0.95819,0.64115,1.21984,0.65745,1.01658,6.78338e-05,6.78338e-05,6.78338e-05
75,22024.4,1.19904,0.59256,1.02207,0.90931,0.91501,0.95869,0.64182,1.21657,0.6542,1.01489,6.31243e-05,6.31243e-05,6.31243e-05
76,22327.9,1.20141,0.59347,1.02617,0.90989,0.91577,0.95902,0.64267,1.21673,0.65241,1.01582,5.9127e-05,5.9127e-05,5.9127e-05
77,22620.3,1.19456,0.58855,1.02362,0.91223,0.91744,0.96022,0.64411,1.21589,0.64574,1.01402,5.5848e-05,5.5848e-05,5.5848e-05
78,22897.7,1.19347,0.58712,1.02293,0.90932,0.91924,0.95956,0.64295,1.21788,0.64749,1.01514,5.32925e-05,5.32925e-05,5.32925e-05
79,23169.6,1.1909,0.58853,1.01947,0.91059,0.92052,0.96051,0.64512,1.21196,0.64603,1.01333,5.14643e-05,5.14643e-05,5.14643e-05
80,23464.4,1.18989,0.58504,1.02084,0.91279,0.91974,0.96131,0.64738,1.20609,0.64186,1.00985,5.03662e-05,5.03662e-05,5.03662e-05
